#UniProtKBID	EntrezGeneID	GeneSymbol	DrugBankIDs
Q969H8	56005	MYDGF
Q9H0W8	56006	SMG9
Q9HBU1	56033	BARX1
Q9NRA1	56034	PDGFC
Q9BT22	56052	ALG1
O14562	56061	UBFD1
Q9C0H6	56062	KLHL4
Q8WY98	56063	TM234
Q9Y5F6	56097	PCDGM
Q9Y5G2	56103	PCDGE
Q9Y5H2	56105	PCDGB
Q9Y5E8	56121	PCDBF
Q9Y5E9	56122	PCDBE
Q9Y5F2	56125	PCDBB
Q9UN67	56126	PCDBA
Q9UN66	56128	PCDB8
Q9Y5E2	56129	PCDB7
Q9Y5E5	56131	PCDB4
Q9Y5E6	56132	PCDB3
Q9Y5E7	56133	PCDB2
Q9Y5I4	56134	PCDC2
Q9UN75	56137	PCDAC
Q9Y5I1	56138	PCDAB
Q9Y5I2	56139	PCDAA
Q9Y5H6	56140	PCDA8
Q9UN72	56141	PCDA7
Q9UN73	56142	PCDA6
Q9Y5H7	56143	PCDA5
Q9UN74	56144	PCDA4
Q9Y5H8	56145	PCDA3
Q9Y5H9	56146	PCDA2
Q9Y5I3	56147	PCDA1
Q8IWB6	56155	TEX14
Q9BXU3	56157	TX13A
Q8IYF3	56159	TEX11
Q96MG7	56160	NSE3
Q9BXT8	56163	RNF17
Q9BXU1	56164	STK31
Q9BXT4	56165	TDRD1
Q8WXX0	56171	DYH7
Q9HCJ1	56172	ANKH
Q9UJG1	56180	MSPD1
Q9H019	56181	MFR1L
Q0VAK6	56203	LMOD3
Q32MH5	56204	F214A
Q9UGT4	56241	SUSD2
O75346	56242	ZN253
Q5T5P2	56243	SKT
Q9UIR0	56244	BTNL2
Q8TCY5	56246	MRAP
P49750	56252	YLPM1
Q5VTR2	56254	BRE1A
Q9H1E5	56255	TMX4
Q9NUC0	56256	SRTD4
Q7L2J0	56257	MEPCE
Q8WYA6	56259	CTBL1
Q9NPB8	56261	GPCP1
Q8IWT6	56262	LRC8A
Q96SM3	56265	CPXM1
Q6YP21	56267	KAT3	DB00142;DB00114;
Q6NXR0	56269	IIGP5	DB03814;DB04315;
Q5MNZ6	56270	WIPI3
Q9NWD9	56271	BEX4
Q9NS71	56287	GKN1
Q8TEW0	56288	PARD3
Q9NZH8	56300	IL36G
Q9NS82	56301	AAA1
Q9NQA5	56302	TRPV5	DB11093;DB11348;DB14481;
Q92527	56311	ANKR7
Q86U44	56339	MTA70
Q9NR22	56341	ANM8
Q9NQ55	56342	SSF1
Q9NP86	56344	CABP5
Q9NPC1	56413	LT4R2	DB06248;DB12961;
Q9NRF8	56474	PYRG2
Q9NS64	56475	RPRM
Q9NRJ3	56477	CCL28
Q9NRA8	56478	4ET
Q9NR82	56479	KCNQ5	DB04953;DB00996;DB06089;
Q9UKB3	56521	DJC12
Q9NRE1	56547	MMP26	DB00786;
Q9NR63	56603	CP26B	DB00755;
Q86YB8	56605	ERO1B	DB01902;DB03147;
Q9NR28	56616	DBLOH	DB12695;
Q9NRR6	56623	INP5E
Q9NR71	56624	ASAH2
Q9P287	56647	BCCIP
Q9GZV4	56648	IF5A2
Q9NRS4	56649	TMPS4
Q96RR1	56652	PEO1
Q9NQX5	56654	NPDC1
Q9NR33	56655	DPOE4	DB00242;
Q9HCM9	56658	TRI39
Q9HB15	56660	KCNKC
Q96RD6	56666	PANX2
Q9H3R2	56667	MUC13
Q9NQ31	56672	AKIP1
Q9NQ32	56673	CK016
Q9NQ34	56674	TMM9B
Q9NQ35	56675	NRIP3
Q9NQ33	56676	ASCL3
Q9NR31	56681	SAR1A
P57076	56683	CF298
Q9HDC5	56704	JPH1
Q9HD89	56729	RETN
Q9NR83	56731	S2A4R
Q9BZE3	56751	BARH1
Q7Z2W4	56829	ZCCHV
Q9P0W0	56832	IFNK
Q9NRA0	56848	SPHK2
Q9BRU2	56849	TCAL7
Q4V328	56850	GRAP1
Q9NPA0	56851	EMC7
Q9NS91	56852	RAD18
Q9BZC1	56853	CELF4
Q9NRR8	56882	C42S1
Q8N475	56884	FSTL5
Q9NYU2	56886	UGGG1
Q9P0J7	56888	KCMF1
Q9HD45	56889	TM9S3
Q8TC05	56890	MDM1
Q8TCE9	56891	PPL13
Q9NR00	56892	TCIM
Q9NRR5	56893	UBQL4
Q9NRZ7	56894	PLCC
Q9NRZ5	56895	PLCD
Q9BPU6	56896	DPYL5
Q96S55	56897	WRIP1
Q9BUT1	56898	BDH2
Q7Z6G8	56899	ANS1B
Q9NRX3	56901	NUA4L	DB00157;
Q9NRX1	56902	PNO1
Q9NRJ5	56903	PAPOB
Q9NR46	56904	SHLB2
Q6ZRI6	56905	CO039
Q9P2Z0	56906	THA10
Q08AE8	56907	SPIR1
Q9NQZ5	56910	STAR7
P57077	56911	M3KCL
Q9NQC8	56912	IFT46
Q9NS00	56913	C1GLT
Q9NQT4	56915	EXOS5
Q9H4L7	56916	SMRCD
Q99687	56917	MEIS3
Q9H6R0	56919	DHX33
Q96RQ3	56922	MCCA	DB00121;
Q9GZQ4	56923	NMUR2
Q9NQU5	56924	PAK6	DB12010;
Q9BS40	56925	LXN
Q969V3	56926	NCLN
Q9NPR9	56927	GP108
Q8TCT7	56928	SPP2B
Q96JP0	56929	FEM1C
Q96G46	56931	DUS3L
Q9NRQ5	56935	SMCO4
Q969W9	56937	PMEPA
Q8WYA1	56938	BMAL2
Q9NRW4	56940	DUS22
Q96FZ2	56941	HMCES
Q9NRP2	56942	COXM2
Q9NPA8	56943	ENY2
Q9NRN5	56944	OLFL3
P82650	56945	RT22
Q7Z589	56946	EMSY
Q9GZY8	56947	MFF
Q9NRG7	56948	D39U1
Q9HCS7	56949	SYF1
Q9NRG4	56950	SMYD2
Q9NRG1	56952	PRDC1
Q9NPB1	56953	NT5M	DB04672;DB02217;
Q9NQR4	56954	NIT2
Q9NQ76	56955	MEPE
Q9NQ69	56956	LHX9
Q6GQQ9	56957	OTU7B
Q96IW2	56961	SHD
Q96B86	56963	RGMA
Q14CW9	56970	AT7L3
Q8IXL6	56975	FA20C
Q9P2F5	56977	STOX2
Q9NQV8	56978	PRDM8
Q9NQV6	56980	PRD10
Q8NBL1	56983	PGLT1
Q969U7	56984	PSMG2
Q3LIE5	56985	ADPRM
Q8N5C7	56986	DTWD1
Q8WY36	56987	BBX
Q9NRR3	56990	C42S2
Q9NS87	56992	KIF15
Q9NS69	56993	TOM22
Q8WUD6	56994	CHPT1
Q9NRJ4	56995	TULP4
Q9BXP2	56996	S12A9
Q8NI60	56997	COQ8A	DB12010;
Q9NSA3	56998	CNBP1
Q9P2N4	56999	ATS9
Q9NRH1	57002	YAE1
Q96A33	57003	CCD47
P25106	57007	ACKR3
P57796	57010	CABP4
O60218	57016	AK1BA	DB08772;DB06246;DB02021;DB06077;DB03461;DB00605;DB02383;
O75208	57017	COQ9
Q9UK58	57018	CCNL1
Q6FI81	57019	CPIN1
Q7Z3J2	57020	VP35L
Q96GD0	57026	PLPP	DB00114;
Q9P2U7	57030	VGLU1
Q9BUV0	57035	RSRP1
Q8IV38	57037	ANKY2
Q5T160	57038	SYRM
Q9GZX9	57045	TWSG1
Q9NRY7	57047	PLS2
Q9NRY6	57048	PLS3
Q9NQZ2	57050	SAS10
Q9NR90	57054	DAZ3
Q13117	57055	DAZ2
Q9UMR3	57057	TBX20
P57723	57060	PCBP4
Q9GZR7	57062	DDX24
Q8NG31	57082	KNL1
Q6RW13	57085	ATRAP
Q9NRQ2	57088	PLS4
Q9NQ75	57091	CASS4
Q8WW12	57092	PCNP
P0CI25	57093	TRI49
Q9GZP4	57095	PITH1
Q96KN7	57096	RPGR1
Q9NR21	57097	PAR11
Q9NQS1	57099	AVEN
Q9NQ90	57101	ANO2
Q9NQ89	57102	CL004
Q96AD5	57104	PLPL2
Q9NS75	57105	CLTR2	DB08855;DB11858;DB00716;
Q8WUY8	57106	NAT14
Q9GZR2	57109	REXO4
Q9HDD0	57110	PLAT1
P57735	57111	RAB25
Q9HCX4	57113	TRPC7
Q8IW36	57116	ZN695
Q96CB8	57117	INT12
Q8IU85	57118	KCC1D	DB12010;DB08454;
O95925	57119	EPPI
Q9HD26	57120	GOPC
P57740	57122	NU107
Q9HCU0	57124	CD248
Q8IUK5	57125	PLDX1
Q8N6Q3	57126	CD177
Q9H310	57127	RHBG
Q9HD34	57128	LYRM4
Q9HD33	57129	RM47
Q9HD20	57130	AT131
Q7LBR1	57132	CHM1B
Q9NR34	57134	MA1C1
Q86SG3	57135	DAZ4
Q9HDC9	57136	APMAP
Q3MIN7	57139	RGL3
Q9HAU8	57140	RNPL1
Q9NQC3	57142	RTN4
Q86TW2	57143	ADCK1
Q9P286	57144	PAK5	DB12010;
Q96B96	57146	LDAF1
Q8IZE3	57147	PACE1
Q86X10	57148	RLGPB
O43325	57149	LYRM1
Q8IWA5	57153	CTL2	DB00122;DB14006;
Q9HCE7	57154	SMUF1
Q8N3S3	57157	PHTF2
Q9BR39	57158	JPH2
Q9BYV2	57159	TRI54
Q9HAT8	57161	PELI2
Q96FA3	57162	PELI1
Q5T442	57165	CXG2
Q9UJQ4	57167	SALL4
Q9P2E3	57169	ZNFX1
Q86YN1	57171	DOPP1
Q96NX5	57172	KCC1G	DB08009;DB12010;
Q9BR76	57175	COR1B
Q5ST30	57176	SYVM
Q9ULJ6	57178	ZMIZ1
Q96A73	57179	P33MX
Q9P1U1	57180	ARP3B
Q9ULF5	57181	S39AA
Q9ULJ7	57182	ANR50
Q6P499	57185	NPAL3
Q2PPJ7	57186	RGPA2
Q8NI27	57187	THOC2
P82987	57188	ATL3
A4D1U4	57189	DEN11
Q9NZV5	57190	SELN
Q9GZU1	57192	MCLN1
P98198	57198	AT8B2
Q9P241	57205	AT10D
Q8NDW4	57209	ZN248
Q5BKX6	57210	S45A4
Q86SQ4	57211	AGRG6
Q5W111	57213	SPRY7
Q8WUJ3	57214	CEMIP
Q96EK4	57215	THA11
Q9ULK5	57216	VANG2
Q9ULT0	57217	TTC7A
Q5TH69	57221	BIG3
Q969X5	57222	ERGI1
Q5MIZ7	57223	P4R3B
Q9NU23	57226	LYRM2
Q0VAQ4	57228	SMAGP
Q9Y5W7	57231	SNX14
Q6U841	57282	S4A10	DB01390;
Q8N109	57292	KI2LA
Q9H8E8	57325	CSR2B
Q96AQ6	57326	PBIP1
Q9HC52	57332	CBX8
Q96D15	57333	RCN3
Q9HBT8	57335	Z286A
Q9HBT7	57336	ZN287
Q9BQF6	57337	SENP7
Q8WXH2	57338	JPH3
Q9H313	57348	TTYH1
Q9GZX7	57379	AICDA
Q9HD23	57380	MRS2
Q9H4E5	57381	RHOJ
Q9HBJ8	57393	CLTRN
Q9HAZ1	57396	CLK4	DB12010;
Q9HCY8	57402	S10AE
Q9UL26	57403	RB22A
Q6UW02	57404	CP20A
Q9HBM1	57405	SPC25
Q9BV23	57406	ABHD6
Q9HBL8	57407	NMRL1	DB08784;
A9UHW6	57409	MI4GD
Q96KG9	57410	SCYL1	DB05036;
Q9HBK9	57412	AS3MT	DB00118;
Q6NTF9	57414	RHBD2
Q9HBI5	57415	CC014
Q9BV38	57418	WDR18
Q9UGV2	57446	NDRG3
Q9UN36	57447	NDRG2
Q9NR09	57448	BIRC6
O94827	57449	PKHG5
Q9NT68	57451	TEN2
Q8TD84	57453	DSCL1
Q8N1G1	57455	REXO1
Q96AT1	57456	K1143
Q9ULS5	57458	TMCC3
Q8WXI9	57459	P66B
Q9ULR3	57460	PPM1H
Q9ULR0	57461	ISY1
Q6NSJ0	57462	MYORG
Q86WK6	57463	AMGO1
Q9ULQ0	57464	STRP2
Q9ULP9	57465	TBC24
O95104	57466	SCAF4
Q9HCP6	57467	HHATL
Q9H2X9	57468	S12A5	DB00887;DB00761;
Q9ULN7	57469	PNM8B
Q8N1G4	57470	LRC47
Q8TAM6	57471	ERMIN
Q96KM6	57473	Z512B
Q9ULM2	57474	ZN490
Q9ULM0	57475	PKHH1
Q70CQ4	57478	UBP31
Q9ULL5	57479	PRR12
Q9ULL1	57480	PKHG1
Q6ZU35	57482	CRACD
Q9ULK6	57484	RN150
Q9BYT8	57486	NEUL
A0FGR8	57488	ESYT2
Q9ULJ1	57489	ODF2L
A9YTQ3	57491	AHRR
Q8NFD5	57492	ARI1B
Q9ULI3	57493	HEG1
Q9ULI2	57494	RIMKB
Q9ULH7	57496	MRTFB
Q9ULH0	57498	KDIS
Q8N0W4	57502	NLGNX
Q9BTC8	57504	MTA3
Q5JTZ9	57505	SYAM	DB00160;
Q7Z434	57506	MAVS
Q9ULD9	57507	ZN608
Q9H0H0	57508	INT2
Q9ULD2	57509	MTUS1
Q9HAV4	57510	XPO5
Q9Y2V7	57511	COG6
Q5T848	57512	GP158
Q8WXE0	57513	CSKI2
Q2M1Z3	57514	RHG31
Q9NRX5	57515	SERC1
Q9P2P6	57519	STAR9
Q9P2P5	57520	HECW2
Q8N122	57521	RPTOR
Q7Z6B7	57522	SRGP1
Q9P2P1	57523	NYNRI
Q8WXD9	57524	CSKI1
Q8TAB3	57526	PCD19	DB01373;
Q68DU8	57528	KCD16
Q8NET4	57529	RTL9
Q9P2M7	57530	CING
Q8IYU2	57531	HACE1
Q7Z417	57532	NUFP2
Q9P2M4	57533	TBC14
Q86YT6	57534	MIB1
Q86T90	57536	K1328
Q96PQ0	57537	SORC2
Q96L96	57538	ALPK3
Q9P2L0	57539	WDR35
Q9P2K9	57540	DISP3
Q8TD17	57541	ZN398
Q9P2K6	57542	KLH42
Q9P2K2	57544	TXD16
Q9P2K1	57545	C2D2A
Q9P2J9	57546	PDP2
Q9P2J8	57547	ZN624
Q9P2J2	57549	TUTLA
Q7L7X3	57551	TAOK1	DB12010;
Q6PIU2	57552	NCEH1
Q7RTP6	57553	MICA3
Q8NFZ4	57555	NLGN2
Q9H2E6	57556	SEM6A
Q9P2H5	57558	UBP35
Q96FJ0	57559	STALP
Q9P2H3	57560	IFT80
Q96B67	57561	ARRD3
Q9P2H0	57562	CE126
Q9P2G9	57563	KLHL8
Q9P2G3	57565	KLH14
Q9P2F9	57567	ZN319
Q9P2F8	57568	SI1L2
Q9P2F6	57569	RHG20
Q32P41	57570	TRM5
A5YM72	57571	CRNS1
Q96HP0	57572	DOCK6
Q9BX82	57573	ZN471
Q9P2E8	57574	MARH4
Q9P2E7	57575	PCD10
Q9P2E2	57576	KIF17
Q8NCU4	57577	CC191
Q9P2D8	57578	UNC79
Q9P2D6	57579	F135A
Q8TCU6	57580	PREX1
Q5T5U3	57584	RHG21
Q96RY5	57585	CRML
Q7L8C5	57586	SYT13
Q9P2B7	57587	CFA97
Q4ADV7	57589	RIC1
Q969V6	57591	MRTFA	DB08080;
Q8N1G0	57592	ZN687
Q9BQW3	57593	COE4
Q8IX15	57594	HOMEZ
Q76G19	57595	PDZD4
Q9BUH8	57596	BEGIN
Q9P281	57597	BAHC1
Q8TAF3	57599	WDR48
Q9P278	57600	FNIP2
Q9P275	57602	UBP36
Q9BZ72	57605	PITM2
Q9P270	57606	SLAI2
Q9P266	57608	JCAD
Q9P265	57609	DIP2B
Q6VN20	57610	RBP10
A2RU67	57613	F234B
Q9P260	57614	RELCH
Q9P255	57615	ZN492
Q63HK5	57616	TSH3
Q9P253	57617	VPS18
Q8TF72	57619	SHRM3
Q9P246	57620	STIM2
Q8N680	57621	ZBTB2
Q9P244	57622	LRFN1
Q9P243	57623	ZFAT
Q9P242	57624	NYAP2
Q9NR64	57626	KLHL1
Q8N608	57628	DPP10
Q7Z6J0	57630	SH3R1
Q5VUJ6	57631	LRCH2
Q6UXK5	57633	LRRN1
Q96L91	57634	EP400
Q9P227	57636	RHG23
Q8IYE0	57639	CC146
Q9P218	57642	COKA1
A7E2Y1	57644	MYH7B
Q9P215	57645	POGK
Q96RU2	57646	UBP28
Q8IY37	57647	DHX37
Q9P206	57648	K1522
Q96QT6	57649	PHF12
Q8TCG1	57650	CIP2A
Q2YD98	57654	UVSSA
Q96CP6	57655	ASTRA
Q9P1Z3	57657	HCN3
Q9P1Z2	57658	CACO1
Q9P1Z0	57659	ZBTB4
Q9P1Y6	57661	PHRF1
Q9P1Y5	57662	CAMP3
Q9HBJ7	57663	UBP29
Q9H4M7	57664	PKHA4	DB01863;
Q9HBH5	57665	RDH14	DB00162;
Q9HCM7	57666	FBSL
Q9HCM4	57669	E41L5
Q9HCM3	57670	K1549
Q5T5X7	57673	BEND3
Q63HN8	57674	RN213
Q9HCL3	57677	ZFP14
Q9HCL2	57678	GPAT1
Q96Q42	57679	ALS2
Q9HCK8	57680	CHD8
Q9HCK1	57683	ZDBF2
Q9HCK0	57684	ZBT26
Q5VU97	57685	CAHD1
Q9HCJ6	57687	VAT1L
Q9HCJ5	57688	ZSWM6
Q9HCJ2	57689	LRC4C
Q9HCJ0	57690	TNR6C
Q9HCI6	57691	K1586
Q9HCI5	57692	MAGE1
Q96PQ6	57693	ZN317
Q86T82	57695	UBP37
Q8NHQ9	57696	DDX55
Q8IYD8	57697	FANCM
A0MZ66	57698	SHOT1
Q9HCH3	57699	CPNE5
Q5W0V3	57700	F16B1
Q9HCH0	57701	NCK5L
Q9HCG8	57703	CWC22
Q9HCG7	57704	GBA2
Q6ZS81	57705	WDFY4
Q8TEH3	57706	DEN1A
Q6P9B6	57707	MEAK7
Q8N108	57708	MIER1
Q8TBB6	57709	S7A14
Q6P280	57711	ZN529
Q5VUG0	57713	SMBT2
Q9NTN9	57715	SEM4G
Q9BXM0	57716	PRAX
Q6NUP7	57718	PP4R4
Q9HCE9	57719	ANO8
Q5VW38	57720	GP107
Q9HCE5	57721	MET14
Q8TDY8	57722	IGDC4
Q9HCE0	57724	EPG5
Q9HCD5	57727	NCOA5	DB07702;
Q8NEZ3	57728	WDR19
Q8N2N9	57730	AN36B
Q9H254	57731	SPTN4
Q9HCC9	57732	LST2
Q9H227	57733	GBA3
Q9NQ36	57758	SCUB2
Q96RU7	57761	TRIB3
Q9H9E1	57763	ANRA2
Q9NYW8	57786	RBAK
Q96L34	57787	MARK4	DB12010;
Q8IWZ8	57794	SUGP1
Q8WUU5	57798	GATD1
Q96S21	57799	RB40C
Q9HCC6	57801	HES4
Q9HCU8	57804	DPOD4
Q8N163	57805	CCAR2
P81172	57817	HEPC
Q9Y333	57819	LSM2
Q9NPC3	57820	CIP1
Q5TID7	57821	CC181
Q8TE85	57822	GRHL3
Q9NQ25	57823	SLAF7	DB06317;
Q9Y3L5	57826	RAP2C
O95873	57827	CF047
Q6ZRH7	57828	CTSRG
Q12836	57829	ZP4
Q9HBI6	57834	CP4FB
Q9BY07	57835	S4A5	DB01390;
Q86VK4	57862	ZN410
Q8N126	57863	CADM3
Q9UKA9	58155	PTBP2
Q9NPG2	58157	NGB
Q9HD90	58158	NDF4
Q86UQ8	58160	NFE4
Q9HC57	58189	WFDC1
Q9GZU7	58190	CTDS1	DB04156;DB04272;
Q9H2A7	58191	CXL16
Q9Y6N5	58472	SQOR
Q9UF11	58473	PKHB1
Q9GZW8	58475	MS4A7
Q8IXH6	58476	T53I2
Q9Y5M8	58477	SRPRB
Q9UHY7	58478	ENOPH	DB07912;DB09325;
Q7L0Q8	58480	RHOU
Q9NPP4	58484	NLRC4
Q9Y5R8	58485	TPPC1	DB08342;
Q49AG3	58486	ZBED5
Q9NS37	58487	ZHANG
Q9UKL6	58488	PPCT	DB04372;DB09568;DB02306;
Q9NQG5	58490	RPR1B
Q9NQZ8	58491	ZNF71
Q9NRY2	58493	SOSSC
P57087	58494	JAM2
Q9BRP0	58495	OVOL2
Q8NDX9	58496	LY65B
Q86TP1	58497	PRUN1
Q01449	58498	MLRA
Q96JM2	58499	ZN462
P15622	58500	ZN250
Q99935	58503	PROL1
Q7Z5H3	58504	RHG22
Q9NRP0	58505	OSTC
Q9H7N4	58506	SFR19
Q8NEZ4	58508	KMT2C
Q8WUQ7	58509	CATIN
Q8WZ79	58511	DNS2B
O95886	58512	DLGP3
Q9UBC2	58513	EP15R
Q9Y6D0	58515	SELK
Q9NP50	58516	SHCAF
P49756	58517	RBM25
Q9NQL9	58524	DMRT3
O95785	58525	WIZ
Q9NPA3	58526	M1IP1
Q9P1F3	58527	ABRAL
Q9NQL2	58528	RRAGD
Q9NP98	58529	MYOZ1
Q9UNH7	58533	SNX6
Q96JB8	58538	MPP4
Q8N6P7	58985	I22R1
Q9HCN3	58986	PGAP6
Q9HBE4	59067	IL21
P57730	59082	CAR18
Q5T1R4	59269	ZEP3
Q9BYF1	59272	ACE2	DB00691;DB05203;
Q9H1K6	59274	TLRN1
Q9HB63	59277	NET4
Q9BZL1	59286	UBL5
Q6IA17	59307	SIGIR
Q9H4Q3	59336	PRD13
Q9HB21	59338	PKHA1	DB04272;
Q9HB19	59339	PKHA2
Q9H3N8	59340	HRH4	DB00321;DB00543;DB01238;DB00477;DB00363;DB01142;DB05381;DB00408;DB06148;DB01620;DB05032;
Q9HBA0	59341	TRPV4	DB11148;DB09061;DB14009;DB14011;
Q9HB40	59342	RISC	DB07506;
Q9HC62	59343	SENP2
Q9BYJ1	59344	LOXE3
Q9HAV0	59345	GBB4
Q9GZX5	59348	ZN350
Q53G59	59349	KLH12
Q9HBX9	59350	RXFP1
Q9HBX8	59352	LGR6
Q53FP2	59353	TM35A
Q8N556	60312	AFAP1
Q9HC44	60313	GPBL1
P98173	60343	FAM3A
Q5T686	60370	AVPI1
Q9UJT2	60385	TSKS
Q9HC21	60386	TPC
Q9HAV5	60401	TNR27
Q96A65	60412	EXOC4
Q9GZN2	60436	TGIF2
Q9BYV9	60468	BACH2
Q9NYP7	60481	ELOV5	DB11358;
Q9GZV3	60482	SC5A7	DB00122;DB14006;
Q9H4B6	60485	SAV1
Q7Z4G4	60487	TRM11
P82673	60488	RT35
Q9HC16	60489	ABC3G
Q96CD2	60490	COAC	DB03247;DB03738;
Q9GZT8	60491	NIF3L
Q9GZT6	60492	CC90B
Q7L8L6	60493	FAKD5
Q9NRN7	60496	ADPPT
Q9H6V9	60526	LDAH
Q9BQ52	60528	RNZ2
Q9H161	60529	ALX4
Q8N442	60558	GUF1
P61009	60559	SPCS3
Q5VZE5	60560	NAA35
Q6NUQ1	60561	RINT1
Q9UIL1	60592	SCOC
Q9H427	60598	KCNKF
Q9H5Z1	60625	DHX35
Q9NPQ8	60626	RIC8A
Q5JXC2	60672	MIIP
Q9BSB4	60673	ATGA1
Q9BXP8	60676	PAPP2
P57772	60678	SELB
Q8N6W0	60680	CELF5
Q96AY3	60681	FKB10
Q8IYB5	60682	SMAP1
Q7Z392	60684	TPC11
Q9H8U3	60685	ZFAN3
Q9H972	60686	CN093
A1A5C7	63027	S22AN
Q5H9F3	63035	BCORL
Q9GZT4	63826	SRR	DB00114;DB00133;
Q96GW7	63827	PGCB
Q8TB40	63874	ABHD4
Q9NRX2	63875	RM17
Q96KN3	63876	PKNX2
Q9H8W3	63877	F204A
Q5XPI4	63891	RN123
Q6YHU6	63892	THADA
Q9C0C9	63893	UBE2O
Q9H9C1	63894	SPE39
Q9H5I5	63895	PIEZ2
Q6AI08	63897	HEAT6
Q9H788	63898	SH24A
Q9H649	63899	NSUN3
Q96PZ2	63901	F111A
Q9H596	63904	DUS21
Q9NQG1	63905	MANBL
Q9H115	63908	SNAB
Q9BYT1	63910	S17A9
Q8TDH9	63915	BL1S5
Q96JJ3	63916	ELMO2
Q8NCW6	63917	GLT11
Q8IZ13	63920	ZBED8
Q8WVB6	63922	CTF18
Q9UQP3	63923	TENN
Q96AQ7	63924	CIDEC
Q9H4Z2	63925	ZN335
Q9NU02	63926	ANKE1
O43745	63928	CHP2
Q9NQH7	63929	XPP3
O60783	63931	RT14
Q9H5V9	63932	CX056
Q5HYK9	63934	ZN667
Q9H4Z3	63935	CAPAM
Q9Y4H4	63940	GPSM3
Q96P71	63941	NECA3
Q9UIM3	63943	FKBPL
Q8IXT2	63946	DMRTD
Q96MA1	63948	DMRTB
Q5VZB9	63951	DMRTA
Q9HAW4	63967	CLSPN
Q9HCN2	63970	TPIP1
Q9H1H9	63971	KI13A
Q9H2A3	63973	NGN2
Q96NK8	63974	NDF6
Q9HAZ2	63976	PRD16
P57071	63977	PRD15
Q9GZV8	63978	PRD14
Q6PIW4	63979	FIGL1
Q9BYT9	63982	ANO3
B0I1T2	64005	MYO1G
Q9H2G4	64061	TSYL2
Q5T8P6	64062	RBM26
Q9BYC2	64064	SCOT2	DB00139;
Q8IXF0	64067	NPAS3
Q9H251	64072	CAD23
Q9H008	64077	LHPP
Q9H477	64080	RBSK
P30039	64081	PBLD
Q9H4A6	64083	GOLP3
Q9HCC0	64087	MCCB	DB00121;
Q9H3Q3	64090	G3ST2
Q9HBU9	64091	POPD2
Q9NSI8	64092	SAMN1
Q9H4F8	64093	SMOC1
Q9H3U7	64094	SMOC2
Q9GZZ7	64096	GFRA4
Q9HCS5	64097	E41LA
Q9HBI0	64098	PARVG
Q96BH3	64100	ESPB1	DB03945;
Q9HBW1	64101	LRRC4
Q9H2S6	64102	TNMD
Q9BS16	64105	CENPK
Q9GZQ6	64106	NPFF1
Q9HC73	64109	CRLF2
Q9HAY2	64110	MAGF1
Q9HCQ7	64111	NPVF
Q96BY2	64112	MOAP1
Q969X1	64114	LFG3
Q9H7M9	64115	VISTA
Q9C0K1	64116	S39A8
Q6P1R4	64118	DUS1L
Q9HB90	64121	RRAGC
Q9HBW9	64123	AGRL4
Q9HC29	64127	NOD2	DB13615;
Q9GZM7	64129	TINAL
Q9HAP6	64130	LIN7B
Q86Y38	64131	XYLT1
Q9H1B5	64132	XYLT2
Q9BYX4	64135	IFIH1
Q9H172	64137	ABCG4
Q9H1K0	64145	RBNS5
Q9HBH1	64146	DEFM	DB04310;DB04368;
Q9HAQ2	64147	KIF9
Q9HAS0	64149	NJMU
Q9BPX3	64151	CND3
Q6P179	64167	ERAP2
Q8N987	64168	NECA1
Q9H257	64170	CARD9
Q9H4B0	64172	OSGP2
Q32P28	64175	P3H1	DB00126;DB00172;DB00139;
P56851	64184	EP3B
Q9H1B7	64207	I2BPL
Q96T76	64210	MMS19
Q96KC8	64215	DNJC1
Q9H5Q4	64216	TFB2M
Q9H3S1	64218	SEM4A
Q8NG27	64219	PJA1
Q9BX79	64220	STRA6
Q96MS0	64221	ROBO3
Q9H497	64222	TOR3A
Q9BVC4	64223	LST8
Q9BSE4	64224	HERP2
Q8NHH9	64225	ATLA2
Q9H3V2	64232	MS4A5
Q96JY6	64236	PDLI2
Q9H222	64240	ABCG5	DB00973;DB11635;
Q9H221	64241	ABCG8	DB00973;DB11635;
Q8NDF8	64282	PAPD5
Q8N1W1	64283	ARG28
Q9H0T7	64284	RAB17
Q96CC6	64285	RHDF1
Q8WTT2	64318	NOC3L
Q9HAH7	64319	FBRS
Q96BH1	64320	RNF25
Q9H6I2	64321	SOX17
Q96L73	64324	NSD1
Q8NHY2	64326	COP1
Q8WVP7	64327	LMBR1
Q9C0E2	64328	XPO4
Q9BYH8	64332	IKBZ
Q9BRR9	64333	RHG09
Q53T59	64342	H1BP3
Q9H6S1	64343	AZI2
Q9Y2N7	64344	HIF3A
Q6DKJ4	64359	NXN
Q9H173	64374	SIL1
Q9H2S9	64375	IKZF4
Q9H5V7	64376	IKZF5
Q9NPA2	64386	MMP25	DB01039;DB13873;DB00786;
Q9H772	64388	GREM2
Q9HA38	64393	ZMAT3
Q96IK5	64395	GMCL1
Q9H2Y7	64397	ZN106
Q8N3R9	64398	MPP5
Q96QV1	64399	HHIP
Q9H8T0	64400	AKTIP
Q86UP0	64403	CAD24
Q9UJ99	64405	CAD22
Q9NS28	64407	RGS18
Q9H0H3	64410	KLH25
Q8WWN8	64411	ARAP3
Q9H116	64412	GZF1
Q0VDI3	64417	TM267
Q9H0V1	64418	TM168
Q8NCE2	64419	MTMRE
Q6UWL2	64420	SUSD1
