#UniProtKBID	EntrezGeneID	GeneSymbol	DrugBankIDs
P15121	231	ALDR	DB07028;DB07030;DB07450;DB02101;DB08449;DB08000;DB08772;DB07139;DB07498;DB07187;DB02007;DB02020;DB11859;DB02994;DB04272;DB06246;DB01039;DB02021;DB00143;DB02834;DB08084;DB01689;DB06077;DB02518;DB00157;DB03461;DB05383;DB05533;DB05327;DB02712;DB00605;DB02383;DB02132;DB07063;DB07093;DB07999;DB08098;
Q9UM73	238	ALK	DB11363;DB00171;DB12267;DB09063;DB08865;DB12010;DB12141;DB12130;
P18054	239	LOX12
P09917	240	LOX5	DB14001;DB00233;DB01014;DB09061;DB14002;DB11994;DB00586;DB00711;DB12010;DB01892;DB04725;DB00179;DB00939;DB14009;DB00244;DB01017;DB05431;DB00471;DB09285;DB14011;DB11133;DB13168;DB02709;DB13174;DB00795;DB00163;DB00744;
P20292	241	AL5AP	DB05225;DB04929;DB06346;
O75342	242	LX12B
O15296	247	LX15B
P09923	248	PPBI
P05186	249	PPBT	DB01143;DB06716;DB09338;DB09498;
P05187	250	PPB1	DB01373;DB08413;
P10696	251	PPBN	DB01143;DB11091;DB00848;DB09498;DB09322;
P02760	259	AMBP
P17707	262	DCAM	DB08163;DB00118;DB01917;DB03754;
Q99217	265	AMELX
Q9UKV5	267	AMFR
P03971	268	MIS
Q16671	269	AMHR2	DB00171;
P23109	270	AMPD1	DB00131;
Q01433	271	AMPD2
Q01432	272	AMPD3
P49418	273	AMPH
O00499	274	BIN1
P48728	275	GCST	DB04789;DB00157;DB00116;
P04745	276	AMY1	DB03439;DB03092;DB02379;DB03088;DB13928;DB04237;
P04746	279	AMYP	DB03439;DB03495;DB04618;DB02889;DB04453;DB03092;DB00284;DB03971;DB03773;DB02379;DB00702;DB01922;DB00491;DB02218;DB03088;
P19961	280	AMY2B	DB01870;DB02730;DB03092;DB03277;DB02379;DB03323;DB02218;DB04417;DB03088;
P03950	283	ANGI	DB04272;DB09130;DB03088;
Q15389	284	ANGP1
O15123	285	ANGP2
P16157	286	ANK1
Q01484	287	ANK2
Q12955	288	ANK3
P15144	290	AMPN	DB00973;DB06773;DB06196;
P12235	291	ADT1	DB01736;DB00171;DB02426;DB00720;DB04178;DB03429;
P05141	292	ADT2	DB00720;
P12236	293	ADT3	DB00720;
P04083	301	ANXA1	DB00288;DB01222;DB01234;DB00591;DB00741;DB14538;DB14539;DB14540;DB14541;DB14542;DB14543;DB14544;DB00959;
P07355	302	ANXA2	DB11638;DB00591;DB06245;DB00031;
P12429	306	ANXA3	DB09095;DB03994;DB00591;
P09525	307	ANXA4	DB09130;DB00591;
P08758	308	ANXA5	DB03981;DB03935;DB09130;DB00591;DB02929;DB03484;DB02497;DB02846;DB03959;
P08133	309	ANXA6
P20073	310	ANXA7
P50995	311	ANX11
P27216	312	ANX13
Q06278	316	AOXA	DB00437;DB00513;DB00484;DB00924;DB03516;DB00426;DB09054;DB09078;DB00170;DB01033;DB00563;DB08840;DB00157;DB00339;DB00481;DB04827;DB00962;DB00246;DB00909;
O14727	317	APAF	DB00171;
P50583	318	AP4A
Q13790	319	APOF
Q02410	320	APBA1
Q99767	321	APBA2
O00213	322	APBB1
Q92870	323	APBB2
P25054	324	APC
P02743	325	SAMP	DB07579;DB07580;DB09130;DB01651;DB01593;DB14487;DB14533;
O43918	326	AIRE
P13798	327	ACPH
P27695	328	APEX1	DB04967;
Q13490	329	BIRC2
Q13489	330	BIRC3
P98170	331	XIAP	DB02628;DB06184;DB04209;DB04612;
O15392	332	BIRC5	DB04115;DB05141;DB00206;
P51693	333	APLP1	DB09130;DB01593;DB14487;DB14533;
Q06481	334	APLP2	DB01593;DB14487;DB14533;
P02647	335	APOA1	DB09130;DB01593;DB14487;DB14533;
P02652	336	APOA2	DB09130;DB01593;DB14487;DB14533;
P04114	338	APOB
P41238	339	ABEC1
P02654	341	APOC1
P02655	344	APOC2	DB09130;
P02656	345	APOC3	DB09130;
P55056	346	APOC4
P05090	347	APOD	DB09130;DB00162;
P02649	348	APOE	DB09130;DB01593;DB14487;DB14533;
P02749	350	APOH	DB09130;DB05446;
P05067	351	A4	DB01370;DB14517;DB14518;DB05150;DB09130;DB00746;DB06782;DB05938;DB09148;DB09149;DB09151;DB02235;DB05846;DB04892;DB02709;DB05088;DB01593;DB14487;DB14533;
P07741	353	APT	DB01632;DB03506;DB00173;DB00131;DB04272;
P07288	354	KLK3	DB04839;DB00834;
P25445	355	TNR6
P48023	356	TNFL6
Q13796	357	SHRM2
P29972	358	AQP1	DB00819;DB02451;DB09338;
P41181	359	AQP2
Q92482	360	AQP3	DB11365;
P55087	361	AQP4
P55064	362	AQP5
O14520	364	AQP7
O43315	366	AQP9
P10275	367	ANDR	DB07422;DB07423;DB07039;DB04709;DB07717;DB07454;DB02932;DB08035;DB01481;DB06870;DB08088;DB08461;DB08087;DB07421;DB01063;DB11901;DB01128;DB07286;DB01541;DB14639;DB01564;DB04839;DB01406;DB12941;DB09123;DB00255;DB06133;DB01395;DB00858;DB15488;DB11219;DB08899;DB13155;DB00655;DB09086;DB02266;DB01185;DB00623;DB00499;DB11619;DB11064;DB01026;DB00367;DB08089;DB05234;DB13934;DB06710;DB02998;DB11429;DB00648;DB08804;DB00984;DB00665;DB06713;DB00717;DB09371;DB00957;DB09389;DB00621;DB01428;DB06412;DB01608;DB11447;DB01708;DB00396;DB07419;DB07769;DB14583;DB00421;DB02901;DB13951;DB06718;DB00675;DB00624;DB13943;DB13944;DB01420;DB13946;DB08604;DB08867;
O95255	368	MRP6	DB00171;DB00515;DB00970;DB00694;DB00997;DB00773;DB00328;DB01032;DB01138;DB00444;DB00570;
P10398	369	ARAF	DB00171;
P48444	372	COPD
P36406	373	TRI23
P15514	374	AREG
P84077	375	ARF1	DB02774;DB07348;DB09462;DB04121;DB04315;DB04137;DB08231;
P61204	377	ARF3
P18085	378	ARF4	DB04315;
P49703	379	ARL4D
P84085	381	ARF5
P62330	382	ARF6	DB01864;DB04315;DB08231;
P05089	383	ARGI1	DB01983;DB04585;DB04197;DB02499;DB06757;DB03144;DB02381;DB00129;DB04530;DB03731;DB04648;DB02689;DB03904;
P78540	384	ARGI2	DB00125;DB00129;DB03731;
P61586	387	RHOA	DB04315;
P62745	388	RHOB	DB00083;
P08134	389	RHOC
P61587	390	RND3	DB04137;
P84095	391	RHOG
Q07960	392	RHG01
P98171	393	RHG04
Q13017	394	RHG05
O43182	395	RHG06
P52565	396	GDIR1
P52566	397	GDIR2
Q99819	398	GDIR3
Q15669	399	RHOH
P40616	400	ARL1	DB04315;
O14813	401	PHX2A
P36404	402	ARL2	DB14731;
P36405	403	ARL3	DB03814;DB04315;
P27540	405	ARNT
O00327	406	BMAL1
P36575	407	ARRC
P49407	408	ARRB1
P32121	409	ARRB2
P15289	410	ARSA	DB03821;DB01141;DB01800;DB04786;
P15848	411	ARSB	DB09301;
P08842	412	STS	DB02735;DB02292;DB06713;DB09070;
P51690	415	ARSL
P54793	416	ARSF
P52961	417	NAR1	DB01854;
Q13508	419	NAR3
Q93070	420	NAR4
O00192	421	ARVC
Q13510	427	ASAH1
P50553	429	ASCL1
Q99929	430	ASCL2
P07306	432	ASGR1
P07307	433	ASGR2	DB00025;DB13998;DB13999;
P42127	434	ASIP
P04424	435	ARLY	DB03814;DB00125;DB02267;
P46597	438	ASMT	DB01065;
O43681	439	GET3	DB00171;
P08243	440	ASNS	DB00174;DB00128;DB00171;DB00142;DB00130;
P45381	443	ACY2	DB00128;DB01593;DB14487;DB14533;
Q12797	444	ASPH	DB00128;DB00139;
P00966	445	ASSY	DB00125;DB00128;DB00171;DB00155;
O14525	460	ASTN1
P01008	462	ANT3	DB11598;DB00407;DB09258;DB09130;DB06779;DB06754;DB01225;DB00569;DB01109;DB04464;DB08813;DB09141;DB05361;DB06271;DB06822;
Q15911	463	ZFHX3
Q6ZP98	463	CP047
P18846	466	ATF1	DB00852;
P18847	467	ATF3	DB00852;
P18848	468	ATF4	DB00852;
