DrugBankID_InteractorA	DrugBankID_InteractorB	Adverse
DB01132	DB04876	N
DB00996	DB00476	N
DB00295	DB00497	N
DB00295	DB00704	N
DB00295	DB01221	N
DB00295	DB00316	N
DB00295	DB00996	N
DB00317	DB00072	N
DB00317	DB01268	N
DB00317	DB00641	N
DB00317	DB01248	N
DB00317	DB00762	N
DB00808	DB00381	N
DB00537	DB00537	N
DB00537	DB01032	N
DB00537	DB00741	N
DB00537	DB01234	N
DB00277	DB00721	N
DB00277	DB01223	N
DB00850	DB00675	N
DB00321	DB00475	N
DB00321	DB00850	N
DB00563	DB01281	N
DB00563	DB00005	N
DB00051	DB00563	N
DB00852	DB00956	N
DB00852	DB01075	N
DB00852	DB01050	N
DB00852	DB01114	N
DB00929	DB00586	N
DB00929	DB00834	N
DB01069	DB00368	N
DB01069	DB00836	N
DB01069	DB00321	N
DB01069	DB00988	N
DB01069	DB00215	N
DB01069	DB00334	N
DB01069	DB00273	N
DB01069	DB00433	N
DB01069	DB01234	N
DB01069	DB00476	N
DB01069	DB00656	N
DB01069	DB00715	N
DB01069	DB00285	N
DB01069	DB00734	N
DB01069	DB01224	N
DB01069	DB00904	N
DB01069	DB00675	N
DB01069	DB00328	N
DB01069	DB00454	N
DB00514	DB00908	N
DB00514	DB00809	N
DB00514	DB01069	N
DB00586	DB00908	N
DB00316	DB00316	N
DB00316	DB00193	N
DB00316	DB00497	N
DB00316	DB00652	N
DB00316	DB00647	N
DB00316	DB00318	N
DB00316	DB01009	N
DB00316	DB00586	N
DB01030	DB00641	N
DB01030	DB08881	N
DB00877	DB00087	N
DB00877	DB00054	N
DB00877	DB00074	N
DB00877	DB00775	N
DB00388	DB06691	N
DB00388	DB01064	N
DB00388	DB00852	N
DB00388	DB01233	N
DB00388	DB01069	N
DB01194	DB00373	N
DB00440	DB00537	N
DB00412	DB00661	N
DB00412	DB00285	N
DB00412	DB00321	N
DB00412	DB00421	N
DB00412	DB00381	N
DB00412	DB00656	N
DB00412	DB00999	N
DB00412	DB01224	N
DB00412	DB00052	N
DB00412	DB00903	N
DB00412	DB06335	N
DB00445	DB01248	N
DB02546	DB00694	N
DB02546	DB08881	N
DB02546	DB00056	N
DB00619	DB00112	N
DB00619	DB01069	N
DB00619	DB00328	N
DB00619	DB00877	N
DB00619	DB02546	N
DB00072	DB00112	N
DB00072	DB01229	N
DB00072	DB00441	N
DB00072	DB01248	N
DB00072	DB00675	N
DB00072	DB00997	N
DB00072	DB00445	N
DB00072	DB00188	N
DB00575	DB00412	N
DB00575	DB01224	N
DB00575	DB01184	N
DB00575	DB00696	N
DB00575	DB00633	N
DB00997	DB00675	N
DB00997	DB01234	N
DB00997	DB01248	N
DB00997	DB01229	N
DB00313	DB01238	N
DB00313	DB00334	N
DB00313	DB00997	N
DB00313	DB01356	N
DB00313	DB00996	N
DB00313	DB00734	N
DB00252	DB00313	N
DB00008	DB00811	N
DB00818	DB00683	N
DB00818	DB00899	N
DB00818	DB01236	N
DB00441	DB01248	N
DB00441	DB01229	N
DB01229	DB08881	N
DB01229	DB00758	N
DB01229	DB08916	N
DB00530	DB00072	N
DB00530	DB00112	N
DB00530	DB00002	N
DB00530	DB00904	N
DB00530	DB01234	N
DB00530	DB00433	N
DB00530	DB01248	N
DB00530	DB00642	N
DB00112	DB02546	N
DB00112	DB00034	N
DB00112	DB01259	N
DB00112	DB01268	N
DB00112	DB01229	N
DB01248	DB01254	N
DB01248	DB05294	N
DB00762	DB01248	N
DB01254	DB00112	N
DB00773	DB04960	N
DB00188	DB08881	N
DB00188	DB00997	N
DB00188	DB00480	N
DB00188	DB02546	N
DB00188	DB00773	N
DB00983	DB01409	N
DB00257	DB00741	N
DB00484	DB01194	N
DB00373	DB00484	N
DB01183	DB06800	Y
DB01250	DB01109	Y
DB01586	DB01054	Y
DB01212	DB01032	Y
DB01326	DB01032	Y
DB01140	DB01032	Y
DB01014	DB01109	Y
DB01022	DB00755	Y
DB01022	DB01083	Y
DB00821	DB00707	Y
DB06800	DB00704	Y
DB06800	DB06274	Y
DB06196	DB00691	Y
DB06196	DB00722	Y
DB06196	DB01197	Y
DB01039	DB00682	Y
DB01039	DB00973	Y
DB01039	DB01394	Y
DB00630	DB00945	Y
DB01098	DB06589	Y
DB01098	DB00627	Y
DB01098	DB00677	Y
DB01098	DB01241	Y
DB01098	DB04855	Y
DB01098	DB01394	Y
DB01098	DB00758	Y
DB01098	DB08873	Y
DB01098	DB01393	Y
DB01098	DB03880	Y
DB01098	DB01118	Y
DB00615	DB08873	Y
DB01103	DB01087	Y
DB01103	DB01611	Y
DB01103	DB00608	Y
DB01411	DB00582	Y
DB01411	DB01149	Y
DB01411	DB00872	Y
DB01411	DB08873	Y
DB01126	DB00582	Y
DB01126	DB01149	Y
DB01126	DB00872	Y
DB01126	DB08873	Y
DB00637	DB00582	Y
DB00637	DB01149	Y
DB00637	DB00872	Y
DB00637	DB08873	Y
DB00637	DB01128	Y
DB00553	DB00707	Y
DB00493	DB01032	Y
DB00456	DB01032	Y
DB00481	DB00451	Y
DB01273	DB00440	Y
DB01273	DB01059	Y
DB01273	DB00898	Y
DB01273	DB01156	Y
DB00714	DB01100	Y
DB00714	DB00904	Y
DB00714	DB00834	Y
DB00714	DB01233	Y
DB00714	DB00422	Y
DB00714	DB00956	Y
DB00714	DB00889	Y
DB00714	DB01156	Y
DB00714	DB06288	Y
DB00714	DB00969	Y
DB00915	DB00440	Y
