# disease	number_of_all_genes	number_of_OMIM_genes	number_of_GWAS_genes	OMIM_genes	GWAS_genes
head and neck neoplasms	47	13	34	595;7157;8626;11178;79577;7048;9940;51741;3265;4293;51079;6049;4221	217;55504;352997;352995;283450;353021;131;353003;353002;4340;222643;3123;3106;51196;2304;113510;26278;346171;80018;285829;5144;387122;10391;2122;125;51562;8125;80724;392371;57497;3117;861;1452;84312
heart arrest	20	1	19	11216	3781;390345;2581;23768;6662;11278;284217;2890;100128390;84441;98;64848;79822;151126;284252;100271434;2099;22822;29994
heart defects, congenital	66	66	0	3759;10142;4893;3753;70;54880;3757;859;1482;6901;6899;9992;78987;2200;55172;92579;6262;1837;79188;6640;137814;5894;182;64446;5781;55036;83544;287;6331;775;1832;3762;2626;2657;673;2697;7021;5318;4624;6736;123872;1829;6330;339829;4838;7092;27019;221421;3784;23414;1824;345895;6654;1723;51422;7405;8701;3845;57057;55997;23389;3728;51314;4853;1767;7547
heart diseases	213	129	86	3920;2657;10060;7112;131118;1832;1837;6640;84159;6324;1674;51778;287;3762;7804;673;6444;6442;3757;55172;5663;1829;2316;1824;345895;6654;4646;4878;8701;3845;55997;4973;3827;4893;4634;7139;1482;88;6901;9992;6389;7134;7137;4205;5318;6262;6261;64446;23171;55036;83544;2070;11155;8048;3741;23414;7021;55800;4624;4625;4626;137814;7273;27019;783;5573;51422;57057;23389;241;7547;3759;10142;3753;54880;9531;4633;5664;7015;10021;2200;7092;859;182;5781;7414;79188;123872;2626;3728;4607;6330;4838;7168;3784;221421;2218;2697;10008;11216;6899;92579;5350;4000;1756;85366;775;948;8557;6736;70;4040;2702;339829;1804;78987;125972;8997;282996;7405;2006;6331;57158;5894;23022;91624;1767;4851;51314	217;120114;1308;283652;100271434;2099;28;255738;8658;25771;63951;23294;23293;84439;23768;7809;56996;1952;283849;11278;29994;5308;57608;25817;55759;6597;65264;284217;6387;9992;121536;6662;170690;100128390;8882;64848;55742;100130239;9722;79660;100271444;100048912;84722;7709;9960;79192;387119;9531;1874;114036;79822;653163;51530;84441;387101;25903;25902;10400;10151;8613;375056;463;98;3781;22808;54805;10743;2890;729075;390345;79659;55973;6943;11173;2581;80310;221692;151126;771;22822;3782;1284;4018;1282;284252;3988
hematologic diseases	201	195	7	3717;212;6125;3040;3043;8546;25;7454;5277;146059;7450;695;5627;5624;7056;23092;11116;2155;4869;546;10661;3998;2244;26258;2158;2159;2243;7390;718;54205;3930;8029;2178;6710;171023;10483;3039;2990;11285;92521;81704;2147;89781;3845;80324;2038;55752;7468;5159;595;4893;4891;4179;3092;6708;3273;9659;2821;3674;7015;26127;1719;79728;10600;2176;2177;368;2175;2260;2261;2266;3662;1130;50943;973;23218;81693;22;79803;83417;1727;4297;4291;7374;164656;3690;5781;2677;2165;3098;2161;2160;2162;11093;629;7504;3257;6165;613;974;54790;2057;7158;81608;3458;1290;90411;7150;6204;2157;6201;653361;57379;84343;2815;2623;9509;2624;7297;2153;1528;462;6521;2812;10560;2187;3075;1675;2189;5156;11234;94;1991;3205;5340;4683;861;11064;867;4689;6774;100505503;2022;84062;286;55120;4763;6218;4089;889;79650;2632;64324;4688;124540;51251;959;958;5351;1536;84930;4928;6223;2035;2034;4598;6229;29760;388552;1278;203;2629;11235;4094;113189;2729;55215;1277;54583;26503;2120;2122;1281;948;3543;7066;1289;3426;6135;56262;2539;7428;6231;81494;83605	729536;3717;54986;79648;8701;645668;3704
hemic and lymphatic diseases	327	291	40	4303;4302;3717;4300;212;23048;1536;2657;10215;5079;8301;28992;3040;3043;8546;25;7454;5277;146059;7450;695;5627;5624;7056;23092;26503;11116;2155;84159;2120;546;10661;3998;2244;26258;348;2159;4864;2243;1991;7390;718;348801;54205;3930;1675;8028;8029;3131;285527;2178;6710;10962;171023;6125;10483;3039;2990;2266;79803;92521;29760;2147;89781;3845;55997;80324;2038;56244;55752;7468;5159;595;6988;4893;100272147;4891;11064;3092;6708;3273;399;4689;2821;3674;2309;3195;7015;26127;2303;79728;7249;89795;10600;2176;2177;368;2175;2260;2261;11285;9258;3662;80184;1130;1290;2060;51251;115761;50943;973;55215;81693;137814;1656;4299;694;841;6135;6774;1727;4297;2324;4291;200942;164656;81608;23218;5781;29844;4066;2165;3098;6218;2161;2160;7547;154215;89884;11093;629;22;331;57569;6929;7504;6609;3257;6165;8115;2157;27086;613;974;54790;472;2057;7158;3690;3458;596;90411;7150;6204;4869;79184;6201;653361;50515;27125;889;57379;84343;2815;2623;9509;2624;7297;3558;2153;1528;462;6521;6887;2812;10560;2187;3075;4609;843;2189;5156;11234;94;4298;2213;4838;3205;5340;4683;861;2158;4179;867;2162;83417;100505503;2022;7405;84062;254065;286;55120;4763;7374;605;604;10006;6491;10272;602;8178;4089;6813;79650;608;2632;64324;80271;238;4688;6899;124540;10577;7428;959;958;9659;5087;5351;5873;5450;84930;4068;4004;4005;4515;6223;2035;2034;8676;25925;4598;6229;81704;388552;1278;203;2629;2677;11235;4094;113189;4253;4928;2729;64127;1277;3702;54583;673;4791;6886;2122;1281;948;3543;7066;201294;1289;3426;81494;56262;356;355;2539;5551;2531;6231;1719;83605	10320;3717;54986;56169;285834;8626;79827;100128431;645668;9855;729536;5820;11262;3431;3127;84159;29113;25865;3662;57476;79648;401475;5462;3132;6176;3704;2212;100270953;3394;3119;3118;3117;79934;55289;8701;64895;79476;3123;79482;80271
hemorrhagic disorders	59	57	2	2815;3717;595;4089;889;8546;3674;7454;11285;5351;3690;79803;4094;90411;3257;2155;2243;2157;26258;84343;368;2153;2244;1675;1290;2261;2266;2159;388552;1278;9509;11235;3662;113189;3998;1277;2812;3075;11234;94;2158;1281;7450;948;83417;7066;1289;2147;89781;7468;2022;2165;84062;2162;2161;2160;83605	8701;54986
hemostatic disorders	24	22	2	595;4089;889;5351;4094;94;368;1290;2261;11285;1278;9509;3662;113189;1277;11235;1281;83417;1289;7468;2022;83605	8701;54986
hereditary sensory and motor neuropathy	59	59	0	2617;5191;22948;1785;65055;5631;59341;26353;23095;8139;123606;54332;3329;3735;121512;8988;5354;3236;3798;80208;4000;3315;5376;4747;1778;7879;118813;9896;9897;81846;547;57165;9420;51324;6683;3897;6687;79628;2705;23503;23111;4359;9197;10397;1959;7840;26580;9907;5264;57716;16;8898;8565;9516;81857;79152;51062;10908;9927
heredodegenerative disorders, nervous system	227	227	0	5173;215;9203;10397;1785;8622;7957;27286;4514;123606;3329;121512;8988;5582;3798;3251;146057;1778;5621;4983;546;547;8905;2245;80025;51062;5063;255928;2705;10528;4803;83943;1786;56997;1959;64374;6448;9907;7443;5264;7319;6658;54840;343641;6567;11141;51;6310;9570;84233;6314;25814;5521;4976;80331;538;6855;4000;8139;54332;55775;7879;4204;6908;3476;493856;4287;8565;80208;80207;7249;7248;51114;2664;2395;7276;146227;367;2074;2259;3748;443;57477;8518;144165;4359;8450;4541;4540;3315;84061;23096;55129;378884;8898;6507;3708;23064;2670;57502;6311;166336;9968;10908;2617;5376;335;2290;65055;7592;6535;6606;6607;641339;116442;10558;1161;4538;4539;4535;4536;747;4747;540;9640;186;65109;7552;6683;2055;3897;7555;6687;785;10159;23133;1861;2182;6611;347344;4771;23230;95;7840;6712;138050;1509;5428;16;3373;26353;1180;2892;6197;81857;254065;55145;158866;1741;56652;9459;54982;1201;1200;1203;23345;59341;4763;256471;23095;3064;3736;3735;10479;4519;3236;24140;57716;4512;950;5191;5456;65125;118813;9896;9897;81846;10939;57165;9420;51324;170302;5160;79628;5162;10075;773;23503;23111;114798;7102;5354;9197;8242;5538;22948;4508;26580;2332;2334;154881;4154;3423;8573;4914;3028;5631;3425;10084;9517;9516;1476;26260;79152;1760;7466;9927
hyperinsulinism	45	1	44	3630	729288;442117;391719;339896;10562;79635;391524;11321;4023;7227;22918;1071;100270945;116519;84320;6262;8658;57829;84811;3254;3479;8882;4544;90768;84226;2158;287;3990;79660;84450;2646;9709;100287887;100270938;22807;100271597;100147745;10221;100270950;80059;441726;157638;100270981;29107
hypersensitivity	61	11	51	3596;94103;2302;2312;30009;80332;4589;7941;710;2161;57628	2615;84640;100131609;5017;4088;3113;3132;401157;253013;90865;55876;388698;644540;3122;9173;3570;9283;23418;10665;6046;1116;1118;1017;8809;6821;85480;5144;26953;169026;441376;81794;11127;91137;284110;64375;284382;91056;3560;56946;3119;3118;1999;220959;3115;2312;3111;3117;149628;5089;4855;56244
hypersensitivity, immediate	61	11	51	3596;94103;2302;2312;30009;80332;4589;7941;710;2161;57628	2615;84640;100131609;5017;4088;3113;3132;401157;253013;90865;55876;388698;644540;3122;9173;3570;9283;23418;10665;6046;1116;1118;1017;8809;6821;85480;5144;26953;169026;441376;81794;11127;91137;284110;64375;284382;91056;3560;56946;3119;3118;1999;220959;3115;2312;3111;3117;149628;5089;4855;56244
hyperthyroidism	24	3	24	1493;115352;7253	344462;80862;285834;7253;399;353006;3710;23;11116;10665;115352;267015;4279;2914;4276;8635;1493;29113;394263;3119;646702;4295;3118;55584
hypopigmentation	30	17	14	4286;4935;388552;3815;89781;7299;79803;4948;3257;26258;84343;51151;84062;8546;11234;22861;7306	53347;100131609;114904;56244;8635;387122;3559;4026;473;3002;80736;10255;3106;7299
hypothalamic diseases	27	27	0	2778;374654;2737;79809;27241;123016;8195;5626;22954;80184;8820;2688;585;582;583;55212;9049;8022;166379;51057;6658;84100;79738;91147;129880;2692;54903
hypotrichosis	23	8	15	9119;1041;147409;10161;55806;200879;147495;121391	353094;6821;59067;344462;3119;3118;5246;22971;3559;3558;1493;60401;170553;367;64375
immune system diseases	559	216	370	4303;4302;4300;23048;1145;8625;4609;1786;55343;10215;5078;5079;8301;28992;3040;7454;115761;694;695;5376;3559;3558;83737;84159;4869;547;930;51062;2719;7390;348801;673;5994;8028;11277;23569;5993;285527;65125;10962;3561;3039;7253;2990;4277;100293534;3569;2312;29760;29851;83706;2060;55024;1380;5159;6583;595;6988;100272147;147409;3309;399;4689;10125;2309;4281;3663;3575;2302;7249;89795;80184;919;89884;2261;1656;1234;64421;9258;3662;23495;1130;8518;1134;4094;5428;4066;254065;4299;4298;841;6774;6775;4297;5573;200942;29844;1536;2161;154215;4261;1493;3596;331;57569;190;6535;6929;7504;6927;5133;10558;8115;975;974;973;472;80332;4068;596;721;27086;55315;79184;115352;653361;50515;27125;57379;7292;346171;7297;2629;64135;30009;6886;6887;10019;5896;5897;843;3172;2213;3195;3689;4683;861;1773;4688;3684;83417;720;28956;2516;54414;4914;605;604;10006;6491;10272;602;8178;5087;608;3630;2632;6891;6890;238;100133941;7374;959;958;79840;5450;26191;4928;4004;4005;4515;2741;2743;326;25925;4598;81704;4282;204;5788;4253;50943;26503;7100;4803;1789;7941;3702;4795;710;4791;1285;2120;355;3543;94103;56262;356;9517;7468;4589;57628;3131;2531;3981;115650	9071;26471;5820;442257;100130988;10892;9283;407977;11181;2914;717;1797;5460;1493;7128;388698;100189469;131368;91056;474354;646702;2315;2312;84547;55584;56244;259308;199;100130756;5796;389203;1017;1235;1236;3586;57476;100271203;8897;9844;5771;23095;3092;640;11262;644020;430;2615;3559;100271271;353002;8341;353006;23242;22979;644540;3516;7412;3899;267015;135656;3394;1997;6890;1999;6753;8935;63940;3630;6891;401475;90865;55876;57713;284110;26191;147;414777;440836;169026;284382;3119;3118;3117;3116;100129192;942;3112;3111;148867;5462;7185;399716;167826;401157;84991;100130889;5747;10340;23;9173;10665;10666;387046;286016;54207;23274;200734;246778;554251;79970;8870;3560;7253;164832;5696;55024;55937;169792;116935;399;6148;5491;4439;6665;1656;8809;5966;3663;3662;56984;11120;645950;11127;440387;57661;359758;7148;114904;26147;79692;83648;3593;100271600;629;79827;7919;7918;283598;100270925;7917;7916;80069;6046;1504;3087;2113;6366;25865;375616;53347;349158;160365;10019;64332;8477;6048;868;54806;221584;55384;79476;3115;54986;3305;285834;54665;5211;4008;8320;22898;326;3976;150221;150223;116379;26797;117289;81797;81794;1041;79722;57705;64895;80760;3710;8626;9474;11118;696;3122;3123;3120;3127;11116;267014;29113;267016;267017;1460;352961;85480;5144;387122;9374;23569;22925;4234;64375;100270953;5594;6565;6311;921;923;2065;139716;55328;10538;221527;253013;8449;253018;449492;449493;4280;3570;55423;730070;9526;6821;723961;100189529;91137;150280;23418;259197;4758;780;6774;6775;149628;10866;8741;2294;6176;25780;3009;81606;84159;394254;11170;115352;10919;10318;388011;7292;4277;4276;7297;639;4279;121260;965;344462;3687;969;3684;57176;1512;4088;3431;60468;79482;26953;2135;10461;152100;7332;55289;8859;100131609;80737;80736;400223;401250;57827;78994;7054;389715;115509;678;3481;8635;677;3135;3132;8740;394263;29121;344423;8701;84640;10320;64288;5017;352997;100270827;9855;53832;919;23498;54899;170679;353011;5089;4295;387117;54536;56169;80862;117583;100189539;100128431;10554;6605;10255;387103;27120;3113;64135;1594;1591;3075;5341;220959;51646;441376;23534;7936;729816;6941;283165;3304;958;7132;3109;3106;3107;1116;1118;100271063;90355;29777;84769;56946;6231;7741;80018;4855;84162
immunologic deficiency syndromes	51	49	2	1789;5896;4261;8625;2719;55343;6891;6890;6535;7504;4689;959;958;7454;4281;973;79840;695;472;919;653361;930;29760;57379;64421;204;7297;23495;29851;1130;975;50943;5994;974;5993;5897;3689;3561;3543;6774;81704;4688;7374;56262;1536;83706;28956;3981;115650	117583;10866
immunoproliferative disorders	119	89	32	4303;4302;4300;23048;10215;5079;8301;28992;115761;694;3558;84159;4869;348801;673;8028;3131;285527;10962;2060;5159;595;6988;100272147;399;2309;7249;89795;89884;2261;1656;9258;3662;80184;843;4298;841;83417;4297;5087;200942;29844;154215;331;57569;6929;8115;4066;4068;596;27086;79184;50515;27125;6886;6887;4609;4299;2213;3195;4683;861;254065;605;604;10006;6491;10272;602;8178;608;238;5450;4928;4004;4005;4515;25925;4598;4094;4253;3702;4791;2120;472;356;355;7468;2531	10320;54986;56169;285834;8626;79827;100128431;9855;64895;5820;11262;3127;84159;29113;25865;3662;57476;401475;5462;3132;6176;100270953;3394;3119;3118;3117;55289;8701;3123;79476;3431;79482
infant, newborn, diseases	55	53	2	4261;5896;1080;8625;242;2294;6891;6890;6535;59344;4653;204;1545;79840;7051;643418;6439;6326;9401;919;2261;6440;3858;2719;64421;4281;126410;8322;54658;50943;1277;5994;26154;5993;5897;224;1280;653509;7080;3561;3786;4935;11005;3785;50964;90167;3988;1244;412;28956;3849;3848;3981	51074;100132286
inflammatory bowel diseases	175	8	172	345611;149233;3663;3587;3588;55054;5243;64127	1788;3717;8927;345611;7128;23046;3132;2615;6122;728010;359779;10067;5820;3554;8863;3575;11262;55054;3127;3559;11116;134288;25824;8807;544;55765;163486;29117;400867;2859;677;84624;441108;167826;11273;253430;100271063;149233;2835;5307;4485;157638;54546;10320;8600;5155;23308;63027;150962;100271352;2308;4046;3579;3663;343727;6304;3577;8209;51750;57511;221416;85407;140717;64170;127281;2768;3586;2524;8204;56984;55722;653437;55600;23252;8453;2646;5771;150280;10221;100130988;3394;85027;6774;9966;284358;7422;3123;100129306;9555;54535;1001;64167;3593;56677;56169;3595;100271600;2297;2294;7850;5334;283234;2805;131096;1738;257177;3458;100271520;219771;356;84619;375616;339479;64407;159296;7297;639;8771;100271305;647215;54361;80762;120892;3172;326275;2212;6354;402569;400935;3117;120400;144811;57178;944;746;4088;56301;56946;55876;1050;6550;1811;6347;8764;26191;60468;1611;80315;327;3976;22891;147;391282;91975;10171;134008;146198;117289;5734;11315;57154;7332;1601;1201;8477;8995;124626;64127;9923;54901;91272;63892
insulin resistance	45	1	44	3630	729288;442117;391719;339896;10562;79635;391524;11321;4023;7227;22918;1071;100270945;116519;84320;6262;8658;57829;84811;3254;3479;8882;4544;90768;84226;2158;287;3990;79660;84450;2646;9709;100287887;100270938;22807;100271597;100147745;10221;100270950;80059;441726;157638;100270981;29107
intellectual disability	101	101	0	3920;215;9203;84623;27286;3251;7592;8492;4983;546;547;8905;2245;5063;6448;7319;6658;6567;9901;51;55998;1387;538;3827;2902;2904;4204;1859;3476;3028;3479;51114;2664;1013;9524;57477;84295;8450;254065;23096;8831;51185;51422;57502;9968;6855;9126;2290;6535;641339;116442;2055;347344;186;65109;7552;10159;23133;2182;6611;8573;6487;138050;2898;11141;3373;2892;7991;6197;9439;84061;158866;1741;9459;5631;10369;83696;10479;24140;10084;55650;5456;2036;2033;170302;81704;5160;5162;10075;7102;8242;8243;54862;2332;2334;3423;11253;3425;25836;26260;55777
intestinal diseases	265	47	226	2778;1493;862;345611;5395;4088;4089;5290;79695;4763;5606;4650;1908;1910;4072;1890;3663;4512;55054;657;324;4595;8929;4092;207;3587;3588;673;10019;7486;5157;8313;4436;1499;2956;7048;6794;2042;149233;2316;27030;4522;5243;4292;5979;64127;2668	1788;3717;8927;345611;7128;23046;5979;3132;2615;4026;7227;6122;728010;359779;10067;2524;3554;100130988;3575;11262;55054;3127;3559;11116;25949;134288;25824;8807;544;55765;163486;29117;400867;2859;29851;677;999;84624;6447;5996;441108;167826;11273;283234;9173;728615;253430;5619;5820;149233;2835;5307;4485;57609;6311;157638;85415;10320;4092;8600;5155;23308;2768;150962;100271352;56984;3676;2308;4046;3579;91975;5796;343727;6304;3577;8209;51750;57511;59067;221416;85407;140717;8809;54546;64170;127281;6581;63027;1230;3586;1233;8204;144811;55722;653437;55600;23252;8453;2646;5771;431704;100271596;10221;8863;359758;3394;85027;6774;3558;9966;643503;284358;7422;3123;100129306;9555;54535;1001;64167;3593;3592;56677;56169;3595;100271600;2297;2294;7850;5334;116028;150280;11221;2805;131096;1738;257177;644540;3458;100271520;219771;356;652;650;84619;2113;375616;339479;64407;159296;7297;639;466;100271305;647215;54361;80762;3084;120892;3172;326275;2212;6354;5341;402569;400935;220959;100270859;864;3117;120400;55892;8667;57178;944;2829;746;4088;120376;56301;401475;10477;56946;55876;1050;6550;1811;6347;8764;79258;26191;60468;1611;80315;327;26585;3976;22891;147;8771;391282;3911;2720;10171;134008;146198;117289;3663;5734;389015;5462;11315;57154;7332;1601;54901;1201;8477;100271063;8995;124626;64127;57514;9923;84162;91272;63892
intestinal neoplasms	51	29	23	2778;27030;5395;4088;4089;5290;79695;4763;5606;4072;4512;657;324;4595;4092;207;673;7486;5157;8313;1499;2956;7048;2042;862;4522;4292;5979;4436	120376;401475;7227;11221;644540;652;650;4092;6581;3911;466;999;6447;5462;100271596;728615;26585;220959;57609;643503;55892;8667;85415
joint diseases	110	24	89	4010;3309;9496;4282;7369;4148;2487;4049;115352;56606;6583;4277;3663;56172;8200;23569;4626;4795;7124;3248;100507436;6775;3569;54829	7128;23046;7117;259308;116085;3123;3127;3559;25949;10665;267015;389715;400867;3837;3135;200734;1493;23569;167826;3132;6014;149233;344423;164832;10758;56244;55937;100270827;23263;200728;79722;84871;196527;51752;90355;389203;7536;5966;1235;79667;3663;353011;4055;26147;53940;640;5871;257397;83648;7547;3593;390283;100271278;7092;3516;114182;56606;6366;4276;359775;344462;2895;864;10678;23534;54665;729816;5649;9755;5211;958;11170;54875;10085;26191;3107;40;326;5289;147;391282;3899;6446;3119;3118;3117;139363;4855;7185
keratosis	27	27	0	9733;3868;488;5290;59344;1832;26154;7051;3857;643418;2261;2707;3858;1075;126410;127534;2706;242;224;1828;11005;2312;4014;412;3849;3848;57152
kidney diseases	188	110	83	5310;4306;760;6557;6559;7225;8542;3557;6648;5824;5828;7056;4868;23607;3939;142680;718;7809;4233;116093;6569;4643;988;120227;65266;7030;11136;81;6519;5251;9380;79663;5311;51196;6514;5314;525;4968;11281;64423;4627;2271;6421;1729;50617;7422;7421;4952;5972;7428;3758;8504;629;5167;27241;1636;2056;7490;5546;183;185;9409;189;112817;10312;6521;1594;6524;3077;11236;1188;1187;1184;4179;201163;340024;554;551;8074;6340;4920;5195;7466;5190;5193;5192;8671;1758;65125;5800;4841;3913;79058;7369;57531;55193;493856;7827;1285;1287;1286;5830;3426;84925;6337;55670;6338;81494;359;3075	23780;30011;6582;646195;22925;10863;8741;6744;58500;28991;158222;22918;128822;595;949;6665;10255;7029;100270946;8542;6781;449493;6262;100270916;3123;11112;57619;8416;10665;2034;407977;284274;26011;221416;5696;2628;3117;51422;57575;449492;100271209;9153;7369;29956;8395;9526;2646;256356;4257;84902;3709;3075;90859;60677;150280;390218;4603;80832;23562;56965;200420;6569;3119;8082;4760;8897;3116;3118;11122;353329;79611;1471;389840;7422;9658;55589;9027;4855;254778;6909;204474;29107;51071
kidney neoplasms	25	19	6	27241;2271;6421;79663;57531;7490;5546;201163;7030;116093;79058;4968;11281;4841;84925;4233;55193;11236;7428	595;8082;949;2034;3709;390218
leprosy	24	0	24	9966;80099;168507;124460;3128;79747;1540;3122;3123;3127;734;55744;160857;6299;3119;3118;3117;400757;149233;8767;64127;121838;144811;56244
leukemia	131	110	22	4303;4302;3717;64783;23048;4609;10215;5079;28992;84936;25;115761;2521;694;5371;3558;84159;4869;348801;4330;3932;8028;3131;8021;4026;10962;92521;3845;2060;5914;1387;10801;5159;6988;4893;100272147;8522;23305;2309;57591;10600;2078;89884;285527;3815;153090;4629;23092;7704;4299;79142;4297;5087;3092;57569;6929;7913;9321;8115;4066;596;27086;79184;5781;50515;27125;63976;6886;6887;57082;4298;3195;3205;4683;861;862;865;4763;867;10499;7994;254065;8833;604;10006;6491;10272;602;8178;608;64324;124540;26511;29844;5450;4928;4004;4005;4515;2033;25925;4300;613;2322;4791;2120;2122;472;2000;54904	10320;8626;79827;100128431;645668;9855;729536;11262;84159;79482;3662;57476;5462;6176;3394;401475;3117;55289;3123;79476;3431;25865
leukemia, b-cell	24	12	12	604;115761;10272;694;602;5450;596;57569;472;4609;254065;50515	3662;55289;11262;57476;79827;100128431;5462;401475;9855;3431;6176;25865
leukemia, lymphocytic, chronic, b-cell	22	10	12	115761;10272;694;602;596;57569;472;4609;254065;50515	3662;55289;11262;57476;79827;100128431;5462;401475;9855;3431;6176;25865
leukemia, lymphoid	78	59	20	4303;604;10006;4300;6491;10272;23048;6988;8178;100272147;608;57569;10215;5079;6929;28992;3558;596;8115;2309;472;115761;4066;694;5450;602;4004;4005;4515;27086;84159;79184;25925;89884;50515;27125;4302;2120;348801;4928;6886;6887;8028;3131;4609;285527;4791;4298;4683;5159;4299;10962;861;4297;5087;29844;3195;2060;254065	10320;3394;3662;3117;11262;57476;3431;55289;79827;100128431;84159;5462;401475;9855;79476;3123;6176;79482;8626;25865
leukemia, myeloid	56	54	2	5159;3717;64783;4893;865;4026;4763;7913;8522;124540;9321;23305;26511;25;23092;2521;79142;4928;5371;57591;84936;10600;2078;2033;5781;3815;63976;613;7704;4330;4869;2122;2322;153090;57082;4629;8021;2120;3205;54904;861;862;92521;64324;867;3092;2000;3845;10499;7994;5914;1387;10801;8833	729536;645668
leukemia, myeloid, acute	43	43	0	5159;3717;64783;4026;64324;7913;8522;9321;23305;26511;2322;2521;79142;4928;5371;57591;84936;2078;2033;3815;63976;7704;4330;4869;2122;153090;57082;4629;8021;2120;3205;54904;861;862;865;2000;3845;10499;7994;5914;1387;10801;8833
limb deformities, congenital	21	21	0	57539;374654;5728;2737;1280;207;7291;4750;3239;81839;8200;5307;64327;4920;2697;2263;2260;2261;157570;7476;79659
lipid metabolism disorders	56	54	2	3949;2717;54982;335;1201;1200;1203;5476;256471;4023;6609;10577;338;285362;344;4281;1717;4000;857;255738;3988;80331;10555;51128;27329;1509;348;5538;411;2629;7391;116519;2581;2720;2760;3931;4864;284119;3073;84823;149998;1593;2055;5468;224;26119;4547;26580;5346;19;5660;410;427;3074	2646;8882
lipid metabolism, inborn errors	51	51	0	3949;2717;54982;335;1201;1200;1203;5476;256471;4023;6901;6609;10577;338;285362;344;4281;1717;857;255738;3988;80331;10555;51128;27329;1509;348;5538;411;2629;7391;116519;2581;2720;2760;3931;4864;284119;3073;3074;149998;1593;2055;224;26119;4547;26580;19;5660;410;427
lipidoses	29	29	0	2717;54982;1201;1200;1203;5476;256471;6609;10577;285362;224;2055;3988;80331;51128;1509;348;427;2760;2581;2720;2629;4864;3073;3074;5538;5660;410;411
liver cirrhosis	34	1	33	3930	100129176;3592;100129017;3595;133690;9844;5155;91828;2294;23228;8986;64224;7132;51300;23534;6122;4126;6689;388722;1656;133688;3663;5890;23274;22806;4790;647076;3394;3119;3118;4664;643;57057
liver cirrhosis, biliary	32	1	31	3930	100129176;3592;100129017;3595;133690;9844;5155;91828;2294;23228;8986;6122;7132;51300;23534;4126;6689;388722;1656;133688;3663;5890;23274;22806;4790;647076;3394;3119;3118;4664;643
liver diseases	87	41	46	3717;212;8504;210;3030;10165;5290;7389;5498;3145;6927;182;5824;5195;5828;5190;5193;5192;1371;540;324;2153;1033;9409;51201;8647;3930;5205;8312;3077;11231;4233;5265;5830;5244;2235;1723;3431;55670;57509;4853	100129176;3592;100129017;3595;133690;9844;5155;91828;2294;23228;8986;64224;7132;51300;23534;282616;6122;23095;3120;4126;282617;6689;388722;3704;9681;267015;25943;1656;133688;4276;3663;65992;23274;22806;2903;4790;647076;5890;3394;3119;3118;4664;3115;3113;643;57057
lung diseases	94	34	61	4086;1080;4089;2294;27063;7015;6288;21;7157;6439;80332;57628;4093;5002;5265;673;1956;7941;6440;10568;729238;972;1285;7080;6794;94103;1438;9940;4589;6289;54904;659;2064;653509	123688;2615;84640;100131609;10144;4088;8626;401157;55504;646192;4855;7917;3658;90865;7015;55876;441376;53916;644540;4285;3122;64375;3570;9283;10665;100132286;6046;1116;1118;1017;8809;6821;387044;3117;85480;5144;26953;1136;152002;3132;91137;284110;9173;23418;169026;3560;56946;3119;3118;1999;220959;3115;3113;5089;3111;8897;149628;81037;253013;51074;56244
lung diseases, obstructive	53	5	48	80332;94103;4589;7941;57628	123688;2615;84640;100131609;10144;4088;401157;3658;90865;55876;441376;53916;644540;3122;9173;3570;9283;10665;6046;1116;1118;1017;8809;6821;85480;5144;26953;169026;3132;91137;284110;64375;23418;3560;56946;3119;3118;1999;220959;3115;3113;5089;3111;3117;149628;253013;4855;56244
lung neoplasms	24	12	12	5002;6794;6288;6289;7157;673;9940;1956;54904;10568;2064;972	123688;55504;4285;8897;8626;387044;1136;646192;81037;152002;7015;7917
lupus erythematosus, systemic	117	17	105	2213;1493;3663;1773;6775;26191;7292;3684;7100;11277;720;5133;721;55024;1380;100293534;10125	100131609;9071;9474;10340;11118;696;100130988;23;3122;3123;3120;10665;267014;267015;267016;1460;387046;352961;11181;474354;717;387122;1797;7128;3132;394263;25780;84547;55024;56244;10320;64288;221527;100130756;78994;7917;730070;1656;54899;3663;100189529;170679;11120;645950;259197;57661;780;6775;79692;3092;640;387117;83648;629;100189539;7918;8341;3009;7916;23534;394254;2113;10919;10318;7292;4277;4276;639;80760;29113;121260;7148;135656;4439;1997;221584;57705;3687;3684;57176;375616;285834;63940;349158;729816;115509;6941;283165;57713;3106;286016;8870;150221;414777;81797;7332;3119;3118;3117;100129192;3112;8859;7741;29777;4855
lymphatic diseases	142	111	33	4303;4302;4300;23048;2657;10215;5079;8301;28992;115761;694;695;3558;84159;4869;348;4864;348801;673;8028;3131;285527;10962;55997;2060;56244;5159;595;6988;100272147;399;2309;2303;7249;89795;89884;1656;9258;80184;4066;137814;4299;4298;841;83417;4297;2324;5087;200942;29844;5873;7547;154215;331;57569;6929;6609;8115;974;973;4068;596;27086;79184;50515;27125;3195;6886;6887;5551;4609;843;2213;4838;4683;861;7405;254065;80271;605;604;10006;6491;10272;602;8178;6813;608;238;6899;10577;472;5450;4928;4004;4005;4515;8676;25925;29760;4253;3702;4791;2120;3543;201294;56262;356;355;64127;2531	10320;56169;285834;8626;79827;100128431;9855;5820;11262;3431;3127;84159;29113;25865;3662;57476;401475;5462;3132;6176;2212;100270953;3394;3119;3118;3117;79934;55289;64895;79476;3123;79482;80271
