# disease	number_of_all_genes	number_of_OMIM_genes	number_of_GWAS_genes	OMIM_genes	GWAS_genes
carcinoma, renal cell	21	15	6	2271;6421;79663;55193;5546;201163;7030;116093;79058;4968;84925;4233;4841;11236;7428	595;8082;949;2034;3709;390218
cardiomegaly	38	31	8	10060;9531;7139;7112;88;5664;131118;6389;7134;7137;11155;5350;4000;7414;1674;1756;2070;7273;8048;6444;4624;4625;70;5663;7168;1829;2218;282996;6331;8557;91624	120114;1308;9531;7709;25771;25817;55742;121536
cardiomyopathies	53	52	2	6442;3920;4634;10060;9531;4633;7112;88;85366;6901;5664;131118;6389;7134;7137;1832;5318;6262;5350;6261;4000;859;7414;79188;1756;7139;2070;51778;11155;7273;8048;1674;6444;4624;4625;70;4607;1837;5663;7168;1829;125972;1824;2218;4646;282996;51422;6331;57158;3728;8557;91624	9531;7709
cardiomyopathy, dilated	32	31	2	10060;9531;7139;7112;88;5664;131118;6389;7134;7137;11155;5350;4000;7414;1674;1756;2070;7273;8048;6444;4624;4625;70;5663;7168;1829;2218;282996;6331;8557;91624	9531;7709
cardiomyopathy, hypertrophic	23	23	0	7139;4634;7134;7137;5350;859;7414;85366;7273;8048;51778;4624;4625;70;4607;4633;7168;125972;4646;51422;57158;8557;91624
cardiomyopathy, hypertrophic, familial	22	22	0	7139;4634;7134;7137;5350;859;7414;85366;7273;8048;51778;4624;4625;70;4607;4633;7168;125972;51422;57158;91624;8557
cardiovascular abnormalities	73	73	0	3759;10142;4893;4089;3753;70;54880;6331;3757;859;1482;6901;6899;9992;78987;2200;55172;92579;6262;1837;79188;6640;137814;5894;11235;182;64446;5921;55036;83544;287;5781;775;1832;3762;2626;2022;51314;2657;673;2697;7021;5318;4624;6736;123872;1829;27063;94;339829;4838;7092;27019;221421;3784;23414;1824;345895;6654;1723;51422;7405;8701;3845;57057;55997;6330;23389;3728;83605;4853;1767;7547
cardiovascular diseases	462	198	271	3920;2717;23209;2657;10060;7112;6654;131118;1832;3717;5583;6640;4854;84159;6324;2153;1674;51778;287;3762;7804;4838;5144;2702;6444;7046;6442;3757;55172;59;7048;4633;2070;1829;3565;2316;1824;345895;55109;4646;4878;2147;8701;3845;55997;4973;3827;775;2218;595;4893;4634;7139;1482;88;6901;9992;6389;7134;7137;4205;7015;6262;6261;91624;64446;23171;368;55036;83544;2261;11285;11155;3662;8048;2934;1281;3741;23414;7021;55800;4624;4625;4626;4541;4629;1837;137814;7273;27019;783;83417;5573;1723;51422;57057;6330;23389;241;2161;7547;3759;10142;7405;3753;54880;9531;4540;5663;5664;4638;10021;2200;4538;1636;7092;4535;859;182;183;5781;7414;79188;123872;659;9509;2626;3728;4607;5654;94;6403;7168;5340;125972;221421;4524;51128;710;2022;2697;80271;948;4088;4089;889;10008;6899;11216;5054;92579;7428;27063;5351;5350;4000;3431;1471;5921;1756;1290;85366;51320;1278;11235;4094;113189;9445;1277;5318;8557;6736;70;4040;673;339829;1804;78987;3784;1282;1289;8997;282996;5444;472;6335;7468;2006;6331;351;57158;5894;23022;51314;4853;1767;4851;83605	217;51196;677828;4048;1308;85397;503648;100128390;283652;10512;100271434;2099;203238;23293;51305;100270961;7306;3595;5629;7247;100147745;1946;10895;1071;255738;8658;25771;728553;341;2153;29113;267016;23294;646583;401492;2243;352961;84439;2212;7809;340198;387122;5593;10529;3135;9709;4035;8622;1952;283849;392374;11278;27072;29994;5308;8870;80036;149233;170680;26766;8701;114036;4978;55759;144638;100127911;340596;9037;286144;337880;4311;65264;81832;284217;116935;55521;132789;2890;27436;6387;6148;121536;253018;49855;7369;4280;6263;90627;343727;100147818;170690;55133;401237;8882;50945;64848;520;51205;25817;55742;1879;2266;23007;100130239;9722;285600;3586;170679;1330;3152;55801;100048912;153090;57608;100271596;353010;353011;221692;79750;780;2043;4815;100271444;729992;7709;79614;79192;1008;25871;23768;128611;10866;54535;154215;129684;120114;80862;347273;339761;58504;56899;84898;9531;100131893;1874;57118;79822;51438;1909;653163;441525;10255;4340;2200;6031;143098;100270844;57674;100130537;3458;6597;2565;7905;128609;84441;387101;652;56979;8613;66037;26031;63951;10400;25902;10151;25903;2581;353007;8777;463;814;98;56996;51741;169044;267015;153339;3077;3667;22808;729816;728299;10743;100271506;54805;84722;348;79934;143872;28951;57172;83478;2921;22882;8938;80271;51530;54984;729075;54986;390345;79659;285834;5294;9452;4018;55973;6943;23522;401470;64321;387119;100270908;4276;11173;91653;9992;375056;6346;11245;3106;3107;100130889;6101;100270983;3184;400591;266722;80310;157708;9960;65125;29761;151126;28;168455;771;285829;340351;23302;22822;490;10371;3782;1284;79660;3781;7917;1282;387882;2160;6662;284252;3988;5932;201456;153020;80896;91461;347704;1495
carotid artery diseases	25	1	24	59	337880;2921;1946;132789;9037;203238;100271506;100270961;6263;57674;6346;2565;10895;56979;3184;400591;51205;1330;1495;27072;80036;2043;728299;1008
celiac disease	45	3	42	10019;1493;4650	3592;56169;7128;4026;23308;10477;150962;3676;5820;59067;116028;1233;60468;3558;25949;8807;2113;8809;1230;2720;29851;117289;647215;389015;5996;167826;79258;5771;431704;9173;359758;5619;5341;3117;100270859;864;5796;6311;57514;57178;84162;2829
