29211 3
2001025 541 0.9909275361448762
10948 410 1.0
61982 122 0.9936430790559285
10648 613 0.9666645497958787
48729 -1 0.0
98742 641 1.0
71310 -1 0.0
43648 479 1.0
1905330 630 1.0
2001088 270 0.9807340557770067
6869 -1 0.0
43604 -1 0.0
50877 -1 0.0
43900 -1 0.0
50778 469 0.9471541758634007
9225 472 0.9346267354083296
51640 313 1.0
9636 -1 0.0
7600 100 0.9001043986018459
42594 -1 0.0
140029 654 1.0
32870 -1 0.0
90068 411 1.0
50776 -1 0.0
9451 249 0.910670360891748
10677 -1 0.0
7423 712 1.0
18904 -1 0.0
1904019 679 1.0
33692 502 0.9997287127323675
10605 -1 0.0
1903829 -1 0.0
1902475 419 0.9355579028737749
8277 637 1.0
16070 246 0.9933192597581972
1959 555 1.0
1901655 367 1.0
48878 310 1.0
70887 -1 0.0
97306 367 1.0
70192 -1 0.0
6474 -1 0.0
34486 318 1.0
42981 400 1.0
42886 -1 0.0
22403 207 0.9875440553820358
9226 472 0.8893000310979658
956 241 0.8681582420305293
9755 -1 0.0
48859 -1 0.0
10639 177 0.7945513899273003
45087 -1 0.0
10604 -1 0.0
1902410 727 1.0
90407 -1 0.0
10638 177 0.8168486200250472
10647 613 0.9292157012308894
48640 517 1.0
31399 231 0.9668431772584509
65004 -1 0.0
43065 400 0.9959579216245247
8654 527 0.9453749278369032
32101 345 0.9403742829799471
1960 555 1.0
89718 419 0.929855322385889
51341 457 1.0
42221 -1 0.0
6364 249 0.9534561072841136
1961 555 0.9854412469132321
35239 599 1.0
1901136 -1 0.0
10675 597 1.0
1775 537 0.9870760148988607
44003 59 0.9947372886868
34629 21 0.9921662425782356
31400 231 0.9125954024115949
10557 590 0.8880536477316093
16570 303 0.9734324243414253
6644 528 1.0
72594 -1 0.0
34248 -1 0.0
43901 -1 0.0
1932 520 1.0
71375 352 1.0
1976 82 0.9608136798270301
40019 -1 0.0
48588 -1 0.0
51494 203 1.0
8643 270 1.0
43434 352 1.0
48469 761 1.0
1901503 -1 0.0
1901502 -1 0.0
42398 504 0.8739382476267206
60788 -1 0.0
15695 -1 0.0
44068 -1 0.0
16050 -1 0.0
35051 716 1.0
51707 -1 0.0
16579 296 0.9041926557079204
9798 721 0.9783612646735644
10629 -1 0.0
72148 -1 0.0
36003 251 0.8141077625414022
2252 -1 0.0
51052 580 1.0
43066 400 0.9940235771008342
10631 -1 0.0
1901522 251 0.8383496855227982
50896 -1 0.0
6997 344 1.0
48663 756 0.48163443946616064
98662 198 1.0
32642 605 1.0
6518 466 0.8796775235549006
48771 -1 0.0
6351 218 0.8571077178906346
60627 -1 0.0
32774 236 1.0
9150 509 1.0
43902 -1 0.0
34641 -1 0.0
22605 -1 0.0
48639 517 0.9906339587534381
209 -1 0.0
43543 -1 0.0
9154 509 0.9770037378971971
6310 449 0.8925203711998884
6807 -1 0.0
7560 -1 0.0
45992 -1 0.0
43966 304 1.0
44271 -1 0.0
1904063 -1 0.0
9628 -1 0.0
7015 -1 0.0
9416 178 0.9372843633126948
51188 -1 0.0
61448 714 0.9484695193002838
61005 -1 0.0
34308 -1 0.0
60911 756 0.4705186402647214
48580 628 0.9911887608675789
51353 457 1.0
7154 -1 0.0
72080 737 1.0
9152 509 0.9711292242096511
1902115 450 0.9473645726512755
21595 -1 0.0
1905332 650 1.0
44270 -1 0.0
30856 -1 0.0
70098 484 0.9648538462755777
10676 597 1.0
42447 -1 0.0
7444 -1 0.0
60485 753 1.0
2699 468 1.0
98764 207 0.9050714358347784
9311 494 1.0
32682 605 1.0
32722 605 1.0
21546 -1 0.0
6835 -1 0.0
2000273 671 1.0
