4183 3
98890 -1 0.0
98936 8 1.0
325 -1 0.0
99569 39 0.9998631229982569
5826 -1 0.0
44291 -1 0.0
30964 -1 0.0
45120 -1 0.0
99240 8 0.9744243571368981
5912 -1 0.0
97413 -1 0.0
30660 57 0.8378892402567057
42763 -1 0.0
31313 25 1.0
35805 -1 0.0
30112 -1 0.0
8275 -1 0.0
99634 -1 0.0
9897 -1 0.0
1990684 -1 0.0
43036 -1 0.0
31252 -1 0.0
313 -1 0.0
97218 -1 0.0
5782 -1 0.0
10369 -1 0.0
71019 -1 0.0
2139 -1 0.0
98862 -1 0.0
5816 -1 0.0
9505 -1 0.0
1750 -1 0.0
36284 -1 0.0
922 -1 0.0
34646 -1 0.0
30874 -1 0.0
5839 -1 0.0
99086 -1 0.0
322 -1 0.0
44297 -1 0.0
51233 -1 0.0
97518 -1 0.0
32158 -1 0.0
44157 45 0.3642977400497996
9274 -1 0.0
1990427 -1 0.0
439 -1 0.0
19774 -1 0.0
45281 -1 0.0
44303 -1 0.0
31074 -1 0.0
33100 -1 0.0
796 -1 0.0
9330 -1 0.0
45171 -1 0.0
5713 -1 0.0
72379 -1 0.0
70469 -1 0.0
34081 -1 0.0
45277 -1 0.0
8540 -1 0.0
5657 -1 0.0
70288 -1 0.0
32045 -1 0.0
44796 -1 0.0
808 -1 0.0
9534 -1 0.0
8541 -1 0.0
5845 -1 0.0
38201 -1 0.0
70701 -1 0.0
1902937 72 1.0
31105 -1 0.0
1990586 -1 0.0
45242 -1 0.0
5849 -1 0.0
5727 -1 0.0
5663 -1 0.0
97526 -1 0.0
32116 -1 0.0
99243 -1 0.0
5838 -1 0.0
32838 -1 0.0
19773 -1 0.0
46727 -1 0.0
98021 -1 0.0
31978 -1 0.0
36387 -1 0.0
5852 -1 0.0
782 68 0.9792099446125516
45271 -1 0.0
43511 -1 0.0
30135 -1 0.0
30894 -1 0.0
31903 57 0.7706626625968599
31261 -1 0.0
36338 -1 0.0
5858 -1 0.0
19028 -1 0.0
30929 -1 0.0
71012 -1 0.0
5798 -1 0.0
34719 -1 0.0
71013 -1 0.0
30176 -1 0.0
98635 -1 0.0
31975 -1 0.0
98520 33 0.8094116025899227
930 -1 0.0
70419 -1 0.0
44167 -1 0.0
32994 -1 0.0
1902773 -1 0.0
35449 -1 0.0
35450 -1 0.0
62242 -1 0.0
98524 -1 0.0
30137 -1 0.0
229 -1 0.0
34751 -1 0.0
44815 -1 0.0
